"Date","Price","Open","High","Low","Vol.","Change %"
"24-05-2024","186.50","187.75","187.90","185.80","3.30M","-0.29%"
"23-05-2024","187.05","186.75","189.20","184.60","20.93M","0.78%"
"22-05-2024","185.60","190.00","190.00","183.50","40.35M","-1.85%"
"21-05-2024","189.10","194.55","196.35","188.75","33.42M","-2.78%"
"18-05-2024","194.50","194.50","194.50","194.50","","-0.21%"
"17-05-2024","194.90","195.05","195.90","193.35","20.83M","0.23%"
"16-05-2024","194.45","192.75","195.85","189.20","35.45M","1.65%"
"15-05-2024","191.30","188.75","193.30","183.25","44.76M","1.97%"
"14-05-2024","187.60","190.95","193.10","182.35","110.01M","-4.72%"
"13-05-2024","196.90","206.50","206.90","187.00","114.08M","-3.34%"
"10-05-2024","203.70","196.85","204.60","190.00","52.67M","4.06%"
"09-05-2024","195.75","194.55","199.70","193.20","47.22M","0.13%"
"08-05-2024","195.50","190.65","196.00","187.55","47.92M","1.82%"
"07-05-2024","192.00","196.15","196.15","182.55","48.12M","-1.89%"
"06-05-2024","195.70","199.00","202.00","194.50","26.39M","-0.79%"
"03-05-2024","197.25","196.80","200.35","193.10","37.88M","1.00%"
"02-05-2024","195.30","193.80","195.95","193.05","27.37M","1.11%"
"30-04-2024","193.15","195.00","196.95","192.20","39.38M","-0.23%"
"29-04-2024","193.60","189.40","194.30","186.45","33.42M","2.92%"
"26-04-2024","188.10","189.00","190.45","186.35","33.78M","1.84%"
"25-04-2024","184.70","184.00","188.90","182.50","38.84M","0.16%"
"24-04-2024","184.40","189.00","189.10","183.15","32.62M","-1.63%"
"23-04-2024","187.45","194.40","194.50","186.60","35.74M","-3.05%"
"22-04-2024","193.35","193.00","197.70","190.80","28.79M","2.19%"
"19-04-2024","189.20","182.30","191.00","181.40","34.11M","2.16%"
"18-04-2024","185.20","188.50","189.25","183.00","35.35M","-0.67%"
"16-04-2024","186.45","187.00","189.30","183.90","43.27M","-0.98%"
"15-04-2024","188.30","188.00","192.40","184.50","48.46M","-1.98%"
"12-04-2024","192.10","195.85","199.70","190.50","56.54M","-2.44%"
"10-04-2024","196.90","195.00","199.60","194.05","35.14M","1.65%"
"09-04-2024","193.70","192.55","195.50","188.75","30.82M","0.99%"
"08-04-2024","191.80","191.60","194.00","190.55","23.09M","0.68%"
"05-04-2024","190.50","188.25","191.80","187.25","35.24M","1.87%"
"04-04-2024","187.00","180.50","188.15","180.25","52.77M","4.88%"
"03-04-2024","178.30","181.95","182.00","177.85","24.27M","-2.62%"
"02-04-2024","183.10","185.00","185.00","180.75","36.35M","-0.76%"
"01-04-2024","184.50","183.90","188.20","182.75","20.79M","1.32%"
"28-03-2024","182.10","179.80","184.70","176.00","42.57M","1.48%"
"27-03-2024","179.45","183.60","189.00","177.20","50.53M","-1.73%"
"26-03-2024","182.60","173.40","183.65","172.20","64.59M","4.82%"
"22-03-2024","174.20","170.45","174.90","169.05","41.78M","2.68%"
"21-03-2024","169.65","168.00","171.00","166.40","42.23M","2.45%"
"20-03-2024","165.60","159.45","166.70","159.00","45.54M","4.84%"
"19-03-2024","157.95","158.60","161.45","156.50","24.85M","-0.19%"
"18-03-2024","158.25","162.50","164.45","157.25","35.38M","-1.12%"
"15-03-2024","160.05","152.85","161.70","152.45","95.09M","4.78%"
"14-03-2024","152.75","147.10","157.30","144.30","45.71M","2.76%"
"13-03-2024","148.65","157.45","158.25","147.50","53.20M","-5.26%"
"12-03-2024","156.90","156.60","157.90","152.15","31.16M","1.32%"
"11-03-2024","154.85","161.00","163.20","149.00","51.52M","-3.22%"
"07-03-2024","160.00","161.75","163.45","158.65","43.69M","-0.96%"
